"name","short_name","repo","HALid","date","teams","SWHID","doi","image_url"
"evidence4j","evidence4j","https://github.com/IGNF/evidence4j ","hal-04648292",2015,"strudel,meig","swh:1:dir:ff29b69760d479ba0eab7826e5f06de65da8f954;origin=https://hal.archives-ouvertes.fr/hal-04648292;visit=swh:1:snp:4780fa70e03c223d7ffb41c09b9821d619e5a180;anchor=swh:1:rel:4bef968176c266e66f08f2a21707233e8ffe02f6;path=/ ",,
"[Code] Code source de la webapp pour la visualisation et l'édition des annotations des annuaires du projet SoDuCo","directory-annotator-viz","https://github.com/soduco/directory-annotator-viz","hal-04478595",2024,"strudel",,,
"[Code] Apprentissage de descripteurs de zones géographiques représentées sous forme de graphes","geomaps_with_pandas","https://github.com/margokhokhlova/geomaps_with_pandas","hal-04421187",2021,"strudel,acte",,,"https://www.umr-lastig.fr/lastig_data/img/rng_delaunay.png"
"[Code] A Benchmark of Nested Named Entity Recognition Approaches in Historical Structured Documents","paper-nestedner-icdar23-code","https://github.com/soduco/paper-nestedner-icdar23-code","hal-04390541",2024,"strudel",,,"https://www.umr-lastig.fr/lastig_data/img/paper-nestedner-icdar23-code_pipeline.png"
"Spatial Data - a scala library for spatial sensitivity analysis","spatialdata","https://github.com/openmole/spatialdata","hal-04428099",2024,"strudel",,,"https://www.umr-lastig.fr/lastig_data/img/spatialsens_examplegenerators.png"
"Tracklib: a python library with a variety of tools, operators and functions to manipulate GPS trajectories","tracklib","https://github.com/umrlastig/tracklib","hal-04356178",2022,"meig","swh:1:dir:eb63c77e49d7314ae60dc94792b1a4df2053c147;origin=https://hal.archives-ouvertes.fr/hal-04356178;visit=swh:1:snp:4d96e12d37450dfa4eeb6943cfe6119a95211a04;anchor=swh:1:rel:7c52e716bd892c421f1d948e2058f0c9ddd69f29;path=/","10.5281/zenodo.10065979 ","https://www.umr-lastig.fr/lastig_data/img/abstracttracklib.png"
"[Code] A Benchmark of Named Entity Recognition Approaches in Historical Documents: Application to 19th Century French Directories","paper-ner-bench-das22","https://github.com/soduco/paper-ner-bench-das22/","hal-04421228",2022,"strudel",,,
"[Code] Chaine de traitement des annuaires du projet SoDuCo","Directory-annotator-back","https://github.com/soduco/directory-annotator-back","Hal-04478577",2024,"strudel",,,"https://www.umr-lastig.fr/lastig_data/img/output-439.jpg"
"[Code] Reconnaissance d'images diachroniques à l'aide d'un réseau siamois","siamese_net","https://github.com/margokhokhlova/siamese_net","hal-04421148",2020,"strudel,acte",,,"https://www.umr-lastig.fr/lastig_data/img/data.png"
"[Code] Construction d'un graphe géohistorique à partir des annuaires du commerce parisien du 19e siècle : application aux photographes","ic_2023_photographes_parisiens","https://github.com/soduco/ic_2023_photographes_parisiens","hal-04390522",2023,"strudel",,,"https://www.umr-lastig.fr/lastig_data/img/ic_2023_photographes_parisiens_pipeline.png"
"micmac","micmac","https://github.com/micmacIGN/micmac",,2016,"acte",,,
"Itowns","Itowns","https://github.com/iTowns/itowns",,2017,"geovis",,,
"photogrammetric-camera","photogrammetric-camera","https://github.com/umrlastig/photogrammetric-camera",,2018,"geovis",,,
"netcdf-three","netcdf-three","https://github.com/umrlastig/netcdf-three",,2021,"geovis",,,
"geopensim","geopensim","https://github.com/IGNF/geoxygene-geopensim","hal-04650393",2011,"strudel","swh:1:dir:b990335cfe36683e3dd2b62f486b655d6c0fc0c3;origin=https://hal.archives-ouvertes.fr/hal-04650393;visit=swh:1:snp:4ccd046e02adbf8887ed4934cca9e3aca43075e7;anchor=swh:1:rel:3b6671e06a8aab98a47be693144eee5d6243d448;path=/",,
"Sparkling WASURE : Out-of-core watertight surface reconstruction from LiDAR point cloud with Apache Spark" : ","Sparkling Wasure","https://github.com/lcaraffa/sparkling-wasure",,2025,"acte",,,"https://www.umr-lastig.fr/lastig_data/img/header.jpeg"
